Frequency (Hz),FFT Magnitude (dB)
258.30,-82.254
258.54,-81.491
258.79,-82.793
259.03,-82.148
259.28,-81.760
259.52,-84.536
259.77,-83.931
260.01,-84.298
260.25,-82.935
260.50,-82.080
260.74,-83.375
260.99,-83.374
261.23,-82.217
261.47,-82.337
261.72,-81.936
261.96,-83.798
262.21,-84.021
262.45,-86.745
262.70,-84.119
262.94,-83.501
263.18,-85.811
263.43,-87.395
263.67,-87.037
263.92,-83.160
264.16,-85.169
264.40,-84.040
264.65,-86.341
264.89,-87.388
265.14,-84.927
265.38,-84.746
265.62,-86.523
265.87,-85.292
266.11,-78.630
266.36,-82.414
266.60,-85.016
266.85,-80.803
267.09,-80.829
267.33,-73.409
267.58,-82.158
267.82,-83.643
268.07,-84.962
268.31,-85.727
268.55,-85.005
268.80,-86.359
269.04,-85.136
269.29,-84.670
269.53,-85.500
269.78,-83.946
270.02,-85.897
270.26,-82.553
270.51,-83.860
270.75,-84.537
271.00,-84.417
271.24,-85.896
271.48,-84.915
271.73,-83.836
271.97,-86.383
272.22,-85.534
272.46,-84.433
272.71,-83.936
272.95,-87.565
273.19,-83.558
273.44,-85.806
273.68,-85.708
273.93,-86.532
274.17,-86.455
274.41,-87.757
274.66,-85.720
274.90,-86.710
275.15,-85.605
275.39,-82.734
275.63,-83.907
275.88,-84.717
276.12,-84.892
276.37,-85.976
276.61,-84.663
276.86,-86.725
277.10,-83.166
277.34,-87.149
277.59,-85.420
277.83,-84.671
278.08,-83.652
278.32,-86.586
278.56,-83.194
278.81,-84.848
279.05,-82.636
279.30,-80.773
279.54,-80.609
279.79,-75.060
280.03,-83.452
280.27,-83.838
280.52,-84.964
280.76,-86.910
281.01,-87.128
281.25,-83.442
281.49,-85.122
281.74,-83.829
281.98,-86.714
282.23,-86.134
282.47,-85.771
282.71,-86.057
282.96,-86.177
283.20,-85.791
283.45,-85.871
283.69,-85.195
283.94,-84.752
284.18,-84.167
284.42,-86.499
284.67,-84.595
284.91,-85.035
285.16,-86.048
285.40,-91.302
285.64,-86.229
285.89,-86.499
286.13,-85.639
286.38,-86.035
286.62,-84.536
286.87,-84.098
287.11,-85.892
287.35,-85.117
287.60,-86.396
287.84,-85.891
288.09,-87.084
288.33,-84.867
288.57,-83.708
288.82,-86.160
289.06,-82.718
289.31,-83.623
289.55,-81.550
289.79,-85.967
290.04,-87.431
290.28,-85.523
290.53,-85.930
290.77,-85.355
291.02,-87.318
291.26,-86.693
291.50,-85.423
291.75,-86.596
291.99,-87.375
292.24,-83.342
292.48,-85.547
292.72,-80.749
292.97,-82.315
293.21,-79.328
293.46,-84.424
293.70,-83.926
293.95,-84.282
294.19,-87.079
294.43,-84.463
294.68,-83.821
294.92,-86.886
295.17,-84.598
295.41,-86.735
295.65,-87.918
295.90,-85.045
296.14,-83.023
296.39,-82.418
296.63,-82.815
296.88,-82.807
297.12,-84.385
297.36,-85.104
297.61,-84.806
297.85,-85.232
298.10,-85.042
298.34,-85.095
298.58,-84.501
298.83,-85.653
299.07,-85.237
299.32,-82.436
299.56,-85.324
299.80,-85.058
300.05,-85.986
300.29,-84.698
300.54,-85.832
300.78,-83.525
301.03,-82.832
301.27,-85.602
301.51,-82.430
301.76,-85.214
302.00,-83.578
302.25,-85.193
302.49,-83.296
302.73,-82.297
302.98,-83.100
303.22,-83.828
303.47,-83.200
303.71,-84.800
303.96,-82.894
304.20,-83.168
304.44,-84.541
304.69,-83.123
304.93,-80.455
305.18,-82.730
305.42,-84.133
305.66,-82.677
305.91,-85.068
306.15,-85.493
306.40,-83.894
306.64,-84.389
306.88,-87.003
307.13,-84.430
307.37,-86.752
307.62,-86.730
307.86,-86.125
308.11,-83.919
308.35,-82.920
308.59,-82.860
308.84,-87.112
309.08,-85.804
309.33,-85.238
309.57,-85.363
309.81,-84.344
310.06,-84.848
310.30,-81.302
310.55,-81.732
310.79,-85.178
311.04,-84.804
311.28,-86.570
311.52,-83.381
311.77,-85.582
312.01,-85.945
312.26,-84.561
312.50,-82.955
312.74,-84.484
312.99,-85.728
313.23,-84.551
313.48,-87.838
313.72,-85.741
313.96,-86.512
314.21,-86.158
314.45,-87.863
314.70,-88.268
314.94,-88.403
315.19,-87.719
315.43,-86.572
315.67,-85.096
315.92,-87.384
316.16,-86.097
316.41,-85.737
316.65,-84.190
316.89,-84.855
317.14,-86.331
317.38,-84.192
317.63,-84.390
317.87,-84.775
318.12,-87.496
318.36,-89.128
318.60,-88.470
318.85,-88.427
319.09,-89.034
319.34,-88.605
319.58,-85.585
319.82,-88.016
320.07,-84.847
320.31,-85.542
320.56,-88.379
320.80,-85.597
321.04,-86.179
321.29,-84.487
321.53,-89.967
321.78,-85.012
322.02,-85.341
322.27,-84.066
322.51,-88.807
322.75,-84.485
323.00,-86.495
323.24,-86.761
323.49,-85.068
323.73,-85.645
323.97,-84.987
324.22,-86.576
324.46,-87.856
324.71,-86.928
324.95,-85.001
325.20,-82.578
325.44,-83.815
325.68,-84.819
325.93,-85.983
326.17,-84.149
326.42,-85.245
326.66,-85.389
326.90,-86.026
327.15,-84.716
327.39,-85.898
327.64,-85.894
327.88,-86.695
328.12,-87.054
328.37,-84.647
328.61,-85.787
328.86,-88.313
329.10,-84.241
329.35,-85.745
329.59,-84.209
329.83,-82.397
330.08,-84.495
330.32,-84.798
330.57,-83.746
330.81,-82.584
331.05,-82.536
331.30,-84.112
331.54,-85.523
331.79,-84.232
332.03,-84.247
332.28,-84.048
332.52,-85.431
332.76,-84.438
333.01,-86.294
333.25,-83.359
333.50,-85.216
333.74,-87.959
333.98,-86.954
334.23,-83.871
334.47,-84.896
334.72,-85.775
334.96,-86.382
335.21,-85.404
335.45,-86.188
335.69,-85.294
335.94,-85.760
336.18,-84.252
336.43,-86.155
336.67,-84.884
336.91,-84.436
337.16,-85.626
337.40,-88.238
337.65,-87.210
337.89,-88.097
338.13,-86.960
338.38,-86.080
338.62,-85.342
338.87,-87.240
339.11,-88.238
339.36,-86.898
339.60,-85.984
339.84,-85.302
340.09,-86.635
340.33,-87.467
340.58,-86.201
340.82,-86.624
341.06,-86.192
341.31,-85.269
341.55,-83.243
341.80,-85.047
342.04,-85.376
342.29,-86.700
342.53,-84.675
342.77,-84.302
343.02,-84.200
343.26,-84.605
343.51,-83.857
343.75,-85.662
343.99,-86.724
344.24,-86.071
344.48,-84.176
344.73,-84.133
344.97,-86.505
345.21,-86.884
345.46,-84.143
345.70,-85.643
345.95,-82.005
346.19,-85.327
346.44,-84.532
346.68,-83.141
346.92,-84.771
347.17,-86.415
347.41,-84.763
347.66,-82.097
347.90,-86.262
348.14,-82.433
348.39,-83.905
348.63,-85.432
348.88,-84.083
349.12,-87.998
349.37,-85.194
349.61,-86.698
349.85,-83.699
350.10,-85.430
350.34,-84.722
350.59,-85.629
350.83,-86.129
351.07,-86.325
351.32,-87.387
351.56,-85.776
351.81,-85.177
352.05,-84.578
352.29,-84.867
352.54,-86.439
352.78,-84.857
353.03,-85.240
353.27,-87.930
353.52,-82.080
353.76,-83.977
354.00,-85.261
354.25,-88.632
354.49,-86.099
354.74,-84.769
354.98,-84.950
355.22,-84.361
355.47,-85.687
355.71,-86.356
355.96,-84.273
356.20,-83.805
356.45,-76.866
356.69,-85.736
356.93,-84.961
357.18,-85.172
357.42,-84.466
357.67,-87.721
357.91,-85.715
358.15,-85.825
358.40,-85.184
358.64,-87.568
358.89,-84.857
359.13,-84.228
359.38,-84.882
359.62,-82.568
359.86,-83.849
360.11,-83.074
360.35,-83.719
360.60,-83.031
360.84,-83.149
361.08,-81.753
361.33,-85.624
361.57,-82.065
361.82,-83.715
362.06,-84.120
362.30,-84.454
362.55,-84.039
362.79,-83.346
363.04,-85.546
363.28,-86.724
363.53,-84.100
363.77,-84.470
364.01,-83.785
364.26,-83.337
364.50,-82.947
364.75,-81.577
364.99,-84.107
365.23,-82.553
365.48,-82.219
365.72,-82.877
365.97,-80.763
366.21,-83.522
366.46,-82.441
366.70,-81.220
366.94,-83.968
367.19,-83.048
367.43,-83.796
367.68,-82.631
367.92,-83.629
368.16,-82.854
368.41,-84.885
368.65,-83.269
368.90,-84.434
369.14,-82.906
369.38,-85.327
369.63,-82.645
369.87,-83.165
370.12,-82.438
370.36,-83.506
370.61,-82.928
370.85,-81.049
371.09,-86.344
371.34,-85.977
371.58,-83.942
371.83,-84.006
372.07,-85.548
372.31,-83.010
372.56,-80.466
372.80,-79.287
373.05,-81.451
373.29,-85.510
373.54,-81.721
373.78,-86.570
374.02,-85.240
374.27,-82.458
374.51,-85.749
374.76,-84.524
375.00,-82.461
375.24,-87.044
375.49,-85.952
375.73,-84.693
375.98,-85.584
376.22,-85.968
376.46,-87.241
